Sentence,Emotion
마약검사도 추가해주시면 땡큐~,2
설현 기획사에서 넘 밀어주는듯..,2
김연아 선수를 알게 된 건 행운입니다.,3
나나 첨부터 외모가 냉철해보이긴하는데 예능에서 애교떠는거 놀랬음,3
박주영이 대표팀복귀 해야 한다,2
두테르 멋지다. 근데 미국은 전세계의 깡패국가인데 가만이 있겠냐.,3
소나기온다매 ㅡㅡㅡㅡㅡㅡㅡ,0
"장기간연애 , 서로 지쳐서 헤어진 커플입니다",1
여러분 핸드폰도 자동으로 따라다니는 날이 옵니다,2
화이팅♡♡ 특검,3
닭근혜 최순실 부역자인 기레기들 처벌하자.,0
아직 안죽었네요!,2
안녕하세요 상체만 보면 44인데 하체가 66인...ㅠㅠㅠ,1
부모님 눈치도엄청보이고 나이는 하루하루먹어가는데 정말걱정입니다ㅜ,1
 당황하는 모습이 역력하다.,2
우리나라 최초의 우주인은 미국인이 되었답니다^^,0
재석 삼촌 축하해요!!♡,3
저 문 어떻게 여는 거예요?,2
우리한테 사과하지말고 조상님한테 사과하고 반성하세요,0
외모상으로 똑부러지고 야무질거같은 느낌드는 여자,3
그렇게 억울하고 떳떳하면 조사 받으면 되잖아,0
마음 속 깊은 곳에 있던 애써 묻어둔 기억들이 나오는 새벽에 나는 아프다.,1
정준영씨 팬들이 많아서 조으시겠어요,2
진짜 사나이나 폐지해라,0
어르신 실버 요금제로는 안되는 건가?,2
우리나라땅에 우리나라할머니를위해서 세우겠다는데 니놈들이 무슨자격으로 항의를 하냐!!,0
쟤들은 무슨복을 타고났길레....부럽다그냥,1
기자 지능이 미생물 수준이라서 외계인하고 외계 생물하고 많이 헛갈린 듯,0
이거 진짜 괜찮음 시간적 여유만 있다면,2
역시근혜은미친닭대가리,0
그런데 아침을 잘 챙겨줄지 자신이 없어요.,1
 다이어트를 다시 시작해야 할까요?,1
미안해서 연락 못한다니 이런거 다 개소리인듯,0
이세돌의 위엄......,3
 이러다 자대 배치 받고나서도 적응못하는거아닌지ㅜㅜ,1
씨잼 비와이 개굳이네,3
집에문안닫고왔는데 제발퇴근좀시켜줬으면좋겠다ㅜㅜㅜ,1
이렇게 행복한 날에도나는 당신 생각만 떠오르고 아픕니다,1
짱깨없음 굶어죽냐?,0
말로만으로가 아닌 행동!을 말하고 있지만 하지않고 있어서 고민..0,1
어떤 결정을 어떻게 내리든 언제나 응원하고 함께할께요,3
잡아서 거세합시다,0
제발좀 내려와요 !!!!!,0
폭식증이 왔어요,1
그렇다고 버리고 올순 없잖아요!,0
 그걸 따르는 넘들도 소시오패스고...,2
이거요즘 엄청 홍보하네,3
오 이거 보자마자 대박을 외쳤슴,3
 당장 대통령직 정지 시키지.,0
 아침에 눈뜨자마자 ㅋㅋㅋ,3
 돈으로 선동하고 움직이는 조직이나 단체는!!,0
 청소년기에나 있었을법한 갈증을 아직까지 가지고 있어서 고민..,1
청와대 약 모조리 빼라!!!,0
20대...만 쳐 맞아라.,0
 이게말이되냐?,0
여자가 군대를 가든 안가든 모병제로 가야지,2
테임주 데려가라 테임즈줄게,2
"무슨~통일연대에서 집회 참석하면 일당 5만준다는 문자 무지 오네~개, 돼지들만 그기가지 내가 왜가?",0
용기있네. 부패정부와 부패재벌과싸움은 목숨걸어야하는데...,3
"너무나 편안한 인상에 너무나 편안한 말투, 너무나 쉬운 요리법 정말 최곱니다~~~!@!!",3
고민거리에도 쪽도 못낄것같은 고민이지만....,1
뻐스기사님들 힘내세요 항상감사드려요~~~,3
역시자랑스런 스텐포드 우리나라 미국인들 최고!!!,2
현존하는 감독중에 유일하게 선수빨 없는 감독..,3
내가 아무리 이런 성격이라도내가 다가가는 것에 대해서싫은 기색을 조금이라도 보이면그냥 나를 감춰버려알간?,0
닭과함께 묻어버려야 할 새퀴..,0
 통곡을 하겠어..,1
저때 5살이 였는데 tv로보던거 생생히 기억남,2
민폐기는 한데 이거도 안해 저거도 안해 점점 더 단절되는 사회 구조로 가는듯,2
투표는 탈퇴인데 결론은 한 100년후에 탈퇴 할수 있다는거네,2
제 정신은 아닌거 같은데 부럽다~,1
주거비용 개선 안하면 저출산은 해결 안된다..,2
너무 어렵게 설명해논거같아서이해가 잘안되네요 ㅠㅠ,1
충분히 될거라고 믿었는데...참 많이 힘듭니다,1
"진영이 작곡한 같은곳에서, 벚꽃이지면 진짜 명곡임....",3
 개소리 하고 있네.,1
